"time_series_name","index"
"MO_Common_CompanyTitle",1
"tb_EntireModel",1
"z_YIW8LT0190_MO_Header_CompanyTitle",1
"MO_Common_CompanySubtitle",2
"z_YIW8LT0190_MO_Header_CompanySubTitle",2
"MO_Common_FPDays",3
"z_YIW8LT0190_MO_Header_FPDays",3
"MO_Common_QEndDate",4
"z_YIW8LT0190_MO_Header_QEndDate",4
"MO_Common_ColumnHeader",5
"z_YIW8LT0190_MO_Header_ColumnHeader",5
"MO_Section_GrowthAnalysis",6
"z_YIW8LT0190_MO_Section_GA_GrowthAnalysis",6
"z_YIW8LT0190_MO_GA_LinearNetworkDomesticaffiliatefeesrevenuegrowthrate",7
"z_YIW8LT0190_MO_GA_LinearNetworkInternationalaffiliatefeesrevenuegrowthrate",8
"z_YIW8LT0190_MO_GA_LinearNetworkAffiliatefeesrevenuegrowthrate",9
"z_YIW8LT0190_MO_GA_LinearNetworkCableadvertisingrevenuegrowthrate",10
"z_YIW8LT0190_MO_GA_LinearNetworkBroadcastingadvertisingrevenuegrowthrate",11
"z_YIW8LT0190_MO_GA_LinearNetworkDomesticchannelsadvertisingrevenuegrowthrate",12
"z_YIW8LT0190_MO_GA_LinearNetworkInternationalchannelsadvertisingrevenuegrowthrate",13
"z_YIW8LT0190_MO_GA_LinearNetworkAdvertisingrevenuegrowthrate",14
"z_YIW8LT0190_MO_GA_LinearNetworkTotalrevenuegrowthrate",15
"z_YIW8LT0190_MO_GA_DirecttoConsumerTotalrevenuegrowthrate",16
"z_YIW8LT0190_MO_GA_ContentSalesLicensingTVSVODdistributionrevenuegrowth",17
"z_YIW8LT0190_MO_GA_ContentSalesLicensingTheatricaldistributionrevenuegrowth",18
"z_YIW8LT0190_MO_GA_ContentSalesLicensingHomeentertainmentrevenuegrowth",19
"z_YIW8LT0190_MO_GA_ContentSalesLicensingTotalrevenuegrowth",20
"z_YIW8LT0190_MO_GA_MediaandEntertainmentDistributionTotalrevenuegrowth",21
"z_YIW8LT0190_MO_GA_Themeparkadmissionsrevenuegrowth",22
"z_YIW8LT0190_MO_GA_ParksExperiencesmerchandisefoodandbeveragerevenuegrowth",23
"z_YIW8LT0190_MO_GA_ResortsandVacationsrevenuegrowth",24
"z_YIW8LT0190_MO_GA_Merchandiselicensingandretailrevenuegrowth",25
"z_YIW8LT0190_MO_GA_Parkslicensingandotherrevenuegrowth",26
"z_YIW8LT0190_MO_GA_ParksExperiencesandProductsTotalrevenuegrowth",27
"z_YIW8LT0190_MO_GA_CableNetworksRevenuesGrowth",28
"z_YIW8LT0190_MO_GA_Broadcastingrevenuesgrowth",29
"z_YIW8LT0190_MO_OS_medianetworksrevenuegrowth",30
"z_YIW8LT0190_MO_GA_DomesticParksandResortsRevenuesGrowth",31
"z_YIW8LT0190_MO_GA_InternationalParksandResortsRevenuesGrowth",32
"z_YIW8LT0190_MO_GA_ConsumerProductsrevenuesgrowth",33
"z_YIW8LT0190_MO_OS_totalparksandresortsrevenuegrowth",34
"z_YIW8LT0190_MO_GA_TheatricalDistributionRevenuesGrowth",35
"z_YIW8LT0190_MO_GA_HomeEntertainmentRevenuesGrowth",36
"z_YIW8LT0190_MO_GA_TVSVODDistributionandOtherRevenuesGrowth",37
"z_YIW8LT0190_MO_GA_Merchandiselicensingrevenuesgrowth",38
"z_YIW8LT0190_MO_GA_Otherrevenuesgrowth",39
"z_YIW8LT0190_MO_OS_studioentertainmentrevenuegrowth",40
"z_YIW8LT0190_MO_GA_LicensingPublishingandGamesRevenuesGrowth",41
