time_series_name,index
MO_Common_CompanyTitle,1
tb_EntireModel,1
z_NVC8NN0168_MO_Header_CompanyTitle,1
MO_Common_CompanySubtitle,2
z_NVC8NN0168_MO_Header_CompanySubTitle,2
MO_Common_FPDays,3
z_NVC8NN0168_MO_Header_FPDays,3
MO_Common_QEndDate,4
z_NVC8NN0168_MO_Header_QEndDate,4
MO_Common_ColumnHeader,5
z_NVC8NN0168_MO_Header_ColumnHeader,5
MO_Section_ConsolidatedSummary,6
z_NVC8NN0168_MO_BlankRow_GA_16,6
z_NVC8NN0168_MO_OS_BoPTotalGlobalPaidStreamingMemberships,7
z_NVC8NN0168_MO_OS_TotalPaidStreamingMembershipsNetAdditions_1,8
z_NVC8NN0168_MO_OS_TotalGlobalEOPPaidStreamingMemberships,9
z_NVC8NN0168_MO_OS_QQGlobalEOPpaidstreamingmembershipsgrowth,10
z_NVC8NN0168_MO_GA_TotalEOPPaidStreamingMembershipGrowth,11
z_NVC8NN0168_MO_OS_TotalAveragePayingMemberships,12
z_NVC8NN0168_MO_OS_QQTotalaveragepayingmembershipsgrowth,13
z_NVC8NN0168_MO_OS_YYTotalaveragepayingmembershipsgrowth,14
z_NVC8NN0168_MO_BlankRow_OS_47,15
z_NVC8NN0168_MO_OS_TotalGlobalStreamingARPU,16
z_NVC8NN0168_MO_OS_QQGlobalstreamingARPUgrowth,17
z_NVC8NN0168_MO_OS_YYGlobalstreamingconstantcurrencyARPUgrowth,18
z_NVC8NN0168_MO_GA_TotalStreamingARPUGrowth,19
z_NVC8NN0168_MO_BlankRow_OS_48,20
z_NVC8NN0168_MO_OS_TotalStreamingRevenue_1,21
z_NVC8NN0168_MO_OS_QQStreamingrevenuegrowth,22
z_NVC8NN0168_MO_GA_TotalStreamingRevenueGrowth,23
z_NVC8NN0168_MO_OS_UnitedStatesDVDRevenue_1,24
z_NVC8NN0168_MO_OS_QQUnitedStatesDVDrevenuegrowth,25
z_NVC8NN0168_MO_OS_YYUnitedStatesDVDrevenuegrowth,26
z_NVC8NN0168_MO_BlankRow_OS_81,27
z_NVC8NN0168_MO_OS_TotalRevenue_3,28
z_NVC8NN0168_MO_OS_ConsensusEstimatesNetRevenue,29
z_NVC8NN0168_MO_OS_QQTotalrevenuegrowth,30
z_NVC8NN0168_MO_OS_YYTotalconstantcurrencyrevenuegrowthcalculated,31
MO_GA_TotalRevenue,32
z_NVC8NN0168_MO_OS_TotalRevenueGrowth,32
z_NVC8NN0168_MO_BlankRow_OS_49,33
z_NVC8NN0168_MO_OS_Constantcurrencyrevenue,34
z_NVC8NN0168_MO_OS_FXimpact,35
z_NVC8NN0168_MO_BlankRow_GA_7,36
z_NVC8NN0168_MO_BlankRow_OS_50,37
MO_Section_SegmentedResultsUSandCanadaStreamingFS,38
z_NVC8NN0168_MO_Section_OS_SegmentedResultsUSandCanadaStreamingFS,38
z_NVC8NN0168_MO_OS_UnitedStatesEOPpaidstreamingmemberships,39
z_NVC8NN0168_MO_OS_QQUnitedStatesEOPpaidstreamingmembershipgrowth,40
z_NVC8NN0168_MO_GA_UnitedStatesEOPPaidStreamingMembershipGrowth,41
z_NVC8NN0168_MO_OS_UnitedStatespaidstreamingmembershipsnetadditions,42
z_NVC8NN0168_MO_OS_CalculatedCanadaEOPpaidstreamingmemberships,43
z_NVC8NN0168_MO_OS_QQCalculatedCanadaEOPpaidstreamingmembershipgrowth,44
z_NVC8NN0168_MO_GA_CalculatedCanadaEOPPaidStreamingMembershipGrowth,45
z_NVC8NN0168_MO_OS_Canadapaidstreamingmembershipsnetadditions,46
