time_series_name,index
MO_Common_CompanyTitle,1
tb_EntireModel,1
z_GMEG0H0133_MO_Header_CompanyTitle,1
MO_Common_CompanySubtitle,2
z_GMEG0H0133_MO_Header_CompanySubTitle,2
MO_Common_FPDays,3
z_GMEG0H0133_MO_Header_FPDays,3
MO_Common_QEndDate,4
z_GMEG0H0133_MO_Header_QEndDate,4
MO_Common_ColumnHeader,5
z_GMEG0H0133_MO_Header_ColumnHeader,5
MO_Section_SegmentedResultsBreakdownFS,6
z_GMEG0H0133_MO_Section_OS_SegmentedResultsBreakdownFS,6
z_GMEG0H0133_MO_OS_ModelSXproduction_1,7
z_GMEG0H0133_MO_OS_Model3Yproduction_1,8
z_GMEG0H0133_MO_OS_CybertruckTeslaSemiproduction_1,9
z_GMEG0H0133_MO_OS_TotalProduction_1,10
z_GMEG0H0133_MO_OS_QQtotalproductiongrowth,11
z_GMEG0H0133_MO_OS_YYtotalproductiongrowth,12
z_GMEG0H0133_MO_BlankRow_OS_52,13
z_GMEG0H0133_MO_OS_ModelSandModelXCarsDelivered_1,14
z_GMEG0H0133_MO_OS_Model3andModelYCarsDelivered_1,15
z_GMEG0H0133_MO_OS_TrucksDelivered_2,16
z_GMEG0H0133_MO_OS_TotalDeliveries_4,17
z_GMEG0H0133_MO_OS_QQtotaldeliveriesgrowth,18
z_GMEG0H0133_MO_OS_YYtotaldeliveriesgrowth,19
z_GMEG0H0133_MO_OS_DeliveriesnotsubjecttoOperatingLease,20
z_GMEG0H0133_MO_OS_QQdeliveriesnotsubjecttooperatingleasegrowth,21
z_GMEG0H0133_MO_OS_YYdeliveriesnotsubjecttooperatingleasegrowth,22
z_GMEG0H0133_MO_BlankRow_OS_53,23
z_GMEG0H0133_MO_OS_GlobalInventory_1,24
z_GMEG0H0133_MO_BlankRow_OS_71,25
z_GMEG0H0133_MO_OS_ImpliedPricePerDelivery_1,26
z_GMEG0H0133_MO_OS_QQimpliedpriceperdeliverygrowth,27
z_GMEG0H0133_MO_OS_YYimpliedpriceperdeliverygrowth,28
z_GMEG0H0133_MO_BlankRow_OS_54,29
z_GMEG0H0133_MO_OS_EoPOperatingLeaseVehicleCount_1,30
z_GMEG0H0133_MO_OS_QQEoPoperatingleasevehiclecountgrowth,31
z_GMEG0H0133_MO_OS_YYEoPoperatingleasevehiclecountgrowth,32
z_GMEG0H0133_MO_BlankRow_OS_104,33
z_GMEG0H0133_MO_OS_Automotiverevenue_4,34
z_GMEG0H0133_MO_OS_Automotiveleasingrevenue_4,35
z_GMEG0H0133_MO_OS_Servicesandotherrevenue_4,36
z_GMEG0H0133_MO_OS_AutomotiveServicesandOtherRevenue,37
z_GMEG0H0133_MO_OS_QQAutomotiveservicesandotherrevenuegrowth,38
z_GMEG0H0133_MO_OS_YYAutomotiveservicesandotherrevenuegrowth,39
z_GMEG0H0133_MO_BlankRow_OS_55,40
z_GMEG0H0133_MO_OS_Solardeployed_1,41
z_GMEG0H0133_MO_OS_Storagedeployed_1,42
z_GMEG0H0133_MO_OS_NetSolarEnergySystemsLeasedandtobeLeasedEoP_1,43
z_GMEG0H0133_MO_BlankRow_OS_105,44
z_GMEG0H0133_MO_OS_Energygenerationandstoragerevenue_4,45
z_GMEG0H0133_MO_OS_QQEnergygenerationandstoragerevenuegrowth,46
z_GMEG0H0133_MO_OS_YYEnergygenerationandstoragerevenuegrowth,47
z_GMEG0H0133_MO_OS_TotalRevenue_5,48
z_GMEG0H0133_MO_OS_ConsensusEstimatesNetRevenue,49
z_GMEG0H0133_MO_OS_QQTotalrevenuegrowth,50
